,approve_idx,approvedText,label_idx,labeledText,score,service
0,29,"Your use of the Service is at your sole risk.</p>
<p>The Service is provided on an “AS IS” and “AS AVAILABLE” basis.",1,Your use of the Service is at your sole risk.The Service is provided on an “AS IS” and “AS AVAILABLE” basis.,0.9818181818181818,1password
1,30,"AgileBits, Inc.
its subsidiaries, affiliates, and its licensors do not warrant that a) the Service will function uninterrupted, secure or available at any particular time or location.",0,"AgileBits, Inc.its subsidiaries, affiliates, and its licensors do not warrant that a) the Service will function uninterrupted, secure or available at any particular time or location.",0.9972602739726028,1password
2,165,"we work with a number of analytics partners, including Google Analytics",38,"we work with a number of analytics partners, including Google Analytics",1.0,airbnb
3,167,"If Airbnb undertakes or is involved in any merger, acquisition, reorganization, sale of assets, bankruptcy, or insolvency event, then we may sell, transfer or share some or all of our assets, including your information",28,"If Airbnb undertakes or is involved in any merger, acquisition, reorganization, sale of assets, bankruptcy, or insolvency event, then we may sell, transfer or share some or all of our assets, including your information",1.0,airbnb
4,168,"li>
<li>Information you have shared with others (e.g., Reviews, forum postings) will continue to be publicly visible on Airbnb, even after your Airbnb Account is cancelled.
However, attribution of such information to you will be removed",20,"Information you have shared with others (e.g., Reviews, forum postings) may continue to be publicly visible on the Airbnb Platform, even after your Airbnb Account is cancelled.However, attribution of such information to you will be removed.",0.9369747899159664,airbnb
5,241,"You agree to indemnify and hold Meredith, its corporate parents, subsidiaries, and affiliates, and the officers, directors, employees, agents, representatives, partners and licensors of each (collectively, the ""<strong>Meredith Parties</strong>"") harmless from any damages, losses, costs, liabilities and expenses (including reasonable attorneys' fees) relating to or arising out of any claims concerning: (a) Your Content.
(b) your misuse of the Services.
(c) your violation of this Agreement.
(d) your violation of any rights of another party, including any Users.
or (e) your violation of any applicable laws, rules or regulations.
Meredith reserves the right, at its own cost, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you, in which event you will fully cooperate with Meredith in asserting any available defenses.",357,"You agree to indemnify and hold Meredith, its corporate parents, subsidiaries, and affiliates, and the officers, directors, employees, agents, representatives, partners and licensors of each (collectively, the ""Meredith Parties"") harmless from any damages, losses, costs, liabilities and expenses (including reasonable attorneys' fees) relating to or arising out of any claims concerning: (a) Your Content.(b) your misuse of the Services.(c) your violation of this Agreement.(d) your violation of any rights of another party, including any Users.or (e) your violation of any applicable laws, rules or regulations.Meredith reserves the right, at its own cost, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you, in which event you will fully cooperate with Meredith in asserting any available defenses.",0.9872537659327926,allrecipes
6,243,"Do Not Track</b>
</p>
<p>We do not currently respond to browser
do-not-track signals",452,Do Not Track We do not currently respond to browser do-not-track signals.,0.9466666666666667,allrecipes
7,246,"Digital technology is rapidly evolving.
If we decide to change our
Privacy Statement in the future, we'll post the changes here and indicate at
the top of the policy the last date on which it was updated.
Unless otherwise
noted, all changes will be effective when posted.</p",356,"Digital technology is rapidly evolving.If we decide to change our Privacy Policy in the future, we'll post the changes here and indicate at the top of the policy the last date on which it was updated.Unless otherwise noted, all changes will be effective when posted.",0.9518518518518518,allrecipes
8,247,"<strong>IF YOU AGREE TO ARBITRATION WITH MEREDITH, YOU ARE AGREEING IN ADVANCE THAT YOU WILL NOT PARTICIPATE IN OR SEEK TO RECOVER MONETARY OR OTHER RELIEF IN ANY LAWSUIT FILED AGAINST MEREDITH ALLEGING CLASS, COLLECTIVE, AND/OR REPRESENTATIVE CLAIMS ON YOUR BEHALF.
INSTEAD, BY AGREEING TO ARBITRATION, YOU MAY BRING COVERED CLAIMS AGAINST MEREDITH ONLY IN AN INDIVIDUAL ARBITRATION PROCEEDING.",489,"IF YOU AGREE TO ARBITRATION WITH MEREDITH, YOU ARE AGREEING IN ADVANCE THAT YOU WILL NOT PARTICIPATE IN OR SEEK TO RECOVER MONETARY OR OTHER RELIEF IN ANY LAWSUIT FILED AGAINST MEREDITH ALLEGING CLASS, COLLECTIVE, AND/OR REPRESENTATIVE CLAIMS ON YOUR BEHALF.INSTEAD, BY AGREEING TO ARBITRATION, YOU MAY BRING COVERED CLAIMS AGAINST MEREDITH ONLY IN AN INDIVIDUAL ARBITRATION PROCEEDING.",0.9884763124199744,allrecipes
9,274,"If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.
You grant Amazon and sublicensees the right to use the name that you submit in connection with such content, if they choose.",560,"If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.You grant Amazon and sublicensees the right to use the name that you submit in connection with such content, if they choose.",0.9989281886387996,amazon
