index,case_id,classification,doc_id,quoteText,score,service,service_id,source,status
9000,152,neutral,941.0,"
You must be at least 13 years of age in order to access this website.",15, Toyhouse,1351,https://toyhou.se/~tos,approved
9001,227,good,3811.0,How does traderjoes.com use the information that it receives?,30, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9002,195,good,3811.0,"If you would like to review or make requests related to your personally identifiable information as it exists in our records, please contact Trader Joe’s at:&nbsp.
</p>
<p> Trader Joe’s<br> PO Box 5049<br> Monrovia,&nbsp;CA&nbsp;91017-7149<br> (Attention: Privacy Officer)<br> privacy@traderjoes.com",50, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9003,164,bad,3811.0,"We may also release customer information when we believe it is necessary to comply with the law, enforce our legal rights.
or to protect our customers or us.",50, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9004,193,good,3811.0,"Trader Joe’s does not tie information to individuals for marketing purposes or sell your personal information to others.
It’s just not how we operate.",25, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9005,190,neutral,3811.0,Analyzing customer use of our site,10, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9006,207,neutral,3811.0,"We also provide you the option to elect not to be contacted by third parties, such as our vendors.",0, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9007,210,good,3811.0,Any partner that we work with would be required to sign a nondisclosure agreement that would prohibit them from disclosing the information we provide them to anyone else.,20, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9008,299,neutral,3811.0,"Our site sometimes provides links to websites that are operated solely by third parties that are not under our control.
These Privacy Practices apply to our site only, and is not intended to describe the privacy policies of any third-party sites.",10, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9009,301,good,3811.0,"We are always improving and updating our website to further enhance your experience.
As a result, our policies will continue to evolve.
As we implement new technology and provide new services, we will update our Privacy Practices &amp.
Commitments accordingly.",30, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9010,325,bad,3811.0,"We use Google Analytics to learn about how you and other customers use the website.
",10, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9011,331,neutral,3811.0,"Commitments <p>
<strong>12/31/19",50, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9012,336,bad,3811.0,"<p>Trader Joe’s uses the information it receives to better serve you and other customers by:</p>
<p>
</p>
<ul>
<li>Communicating about our products, stores, events and promotions",50, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9013,403,bad,3811.0,"By using our website, you are consenting to the collection, use and sharing of the information described in this statement of Privacy Practices &amp.
Commitments.",50, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9014,121,bad,3811.0,"Any changes to our Privacy Practices &amp.
Commitments will take effect upon posting.
We encourage you to refer to this page on an ongoing basis for our most current policy and practices.",70, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9015,228,good,3811.0,What Kind of Information Are We Talking About?,30, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9016,196,good,3811.0,"In other words, the information is only used for general analytical needs.
That’s it.
",60, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9017,188,bad,3811.0,We may also share information with companies we have contracted with to provide technology services.,35, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9018,126,neutral,3811.0,"Whenever you interact on our site, we receive and store certain information in the form of Internet “cookies.”",10, Trader Joe's,2651,https://www.traderjoes.com/home/privacy-policy,approved
9019,152,neutral,,,15, TransferWise,617,https://transferwise.com/terms-of-use-eea,approved
9020,161,good,,,30, Travelzoo,425,https://groups.google.com/d/topic/tosdr/FgWiTqoHN-c/discussion,approved
9021,149,bad,1619.0,"AND TRESORIT'S TOTAL AGGREGATE LIABILITY ARISING OUT OF OR RELATING TO CUSTOMER'S USE OF THE FREE TRIAL IS EUR 100.</p>
</li>",10, Tresorit,1696,https://tresorit.com/terms-of-use,approved
